description,protocol,server,path,filename,format,tar,compression,username,password
UNR final GPS time series IGS08 xyz,http,geodesy.unr.edu,gps_timeseries/txyz/IGS08/,None,ascii,False,False,None,None
PBO final GPS time series IGS05 pos,ftp,data-out.unavco.org,pub/products/position/,pbo.final_igs05.pos.tar.gz,ascii,True,gzip,None,None
Blue Marble image acquired June 2,http,neo.sci.gsfc.nasa.gov,servlet/RenderData?si=526294&cs=rgb&format=TIFF&width=3600&height=1800,None,GeoTIFF,False,False,None,None
NGDC World Magnetic Anomaly Map, http,geotag.org,models/WDMAM/,None,ascii,False,zip,None,None
IERS Earth Orientation Parameters,https,datacenter.iers.org,eop/-/somos/5Rgv/latest/214,None,ascii,False,False,None,None
CALTECH list of recent EQs in Cal and Nev,http,scedc.caltech.edu,recent/Quakes/,quakes0.html,html,False,False,None,None
from Styron-Hetland paper Seismic evidence for slip on LANFs,https,github.com/,cossatot/,lanf_earthquake_likelihood,csv,False,False,None,None
SCSN earthquake catalog 1932-2016,ftp,service.scedc.caltech.edu,catalogs/SCEC_DC,SCEDC_catalogs.tar.gz,ascii,True,gzip,anonymous,<email>
Venice monthly tide gauge at lat 45.433333 long 12.333333,http,psmsl.org,data/obtaining/rlr.monthly.data/168.rlrdata,None,ascii,False,False,None,None
Significant volcanic eruption database,http,ngdc.noaa.gov,nndc/struts/results?type_0=Exact&query_0=$HAZ_EVENT_ID&t=102557&s=50&d=54&dfn=volerup.txt,volerup.txt,ascii,False,False,None,None
2013 Boulder Creek Flood Data,http,nwis.waterdata.usgs.gov,usa/nwis/uv/?cb_00065=on&cb_00060=on&format=html&site_no=06730200&period=&begin_date=2013-09-09&end_date=2013-09-17,None,HTML,False,False,None,None
2016 Storm Event Database,ftp,ncdc.noaa.gov,pub/data/swdi/stormevents/csvfiles/,StormEvents_locations-ftp_v1.0_d2016_c20160715.csv.gz,CSV,false,zip,None,None
2014 Northern Hemisphere Sea Ice Extent,ftp,sidads.colorado.edu,DATASETS/NOAA/G02135/Jul,N_201407_extn_v2,png,False,False,None,None
